Generation Genius Lesson,State,Standards Document,Grade,State ID,Standards
Living vs. Non-Living; Plants Need Water And Light; Animals Need Food;,OR,Standards,Kindergarten,K-LS1-1,Use observations to describe patterns of what plants and animals (including humans) need to survive.
Introduction to Weather;,OR,Standards,Kindergarten,K-ESS2-1,Use and share observations of local weather conditions to describe patterns over time.
Living Things Change Their Environment;,OR,Standards,Kindergarten,K-ESS2-2,Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.
Habitats;,OR,Standards,Kindergarten,K-ESS3-1,Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.
Introduction to Weather;,OR,Standards,Kindergarten,K-ESS3-2,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather."
Reducing Our Impact on Earth; Natural Resources;,OR,Standards,Kindergarten,K-ESS3-3,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment."
Pushes and Pulls;,OR,Standards,Kindergarten,K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.
Pushes and Pulls;,OR,Standards,Kindergarten,K-PS2-2,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.
Sunlight Warms the Earth;,OR,Standards,Kindergarten,K-PS3-1,Make observations to determine the effect of sunlight on Earth’s surface.
Sunlight Warms the Earth;,OR,Standards,Kindergarten,K-PS3-2,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.
Inspired by Nature (Biomimicry);,OR,Standards,Grade 1,1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs."
Animals Help Their Babies Survive;,OR,Standards,Grade 1,1-LS1-2,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.
Introduction to Traits;,OR,Standards,Grade 1,1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents."
Patterns in the Sky;,OR,Standards,Grade 1,1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted."
