sCode	description	category
S2468136	Simple tests can be designed to gather evidence to support or refute student ideas about causes.	Cause and Effect
S2470526	Events have causes that generate observable patterns.	Cause and Effect
S2470534	Patterns in the natural and human designed world can be observed and used as evidence.	Patterns
S2470551	"Patterns in the natural world can be observed, used to describe phenomena, and used as evidence."	Patterns
S2470552	Systems in the natural and designed world have parts that work together.	Systems and System Models
S2470579	People encounter questions about the natural world every day.	"Interdependence of Science, Engineering, and Technology"
S2470580	People depend on various technologies in their lives; human life would be very different without technology.	"Interdependence of Science, Engineering, and Technology"
S2470626	The shape and stability of structures of natural and designed objects are related to their function(s).	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2470627	Every human-made product is designed by applying some knowledge of the  natural world and is built using materials  derived from the natural world.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2470656	Science assumes natural events happen today as they happened in the past.	Scientific Knowledge Assumes an Order and Consistency in Natural Systems
S2470657	Many events are repeated.	Scientific Knowledge Assumes an Order and Consistency in Natural Systems
S2470685	Patterns in the natural and human designed world can be observed.	Patterns
S2470688	"Objects may break into smaller pieces and be put together into larger pieces, or change shapes."	Energy and Matter
S2470726	Things may change slowly or rapidly.	Stability and Change
S2470753	Developing and using technology has impacts on the natural world.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2470754	Scientists study the natural and material world.	Science Addresses Questions About the Natural and Material World
S2470751	Patterns in the natural world can be observed.	Petterns
S2470803	Cause and effect relationships are routinely identified.	Cause and Effect
S2470802	Patterns of change can be used to make predictions.	Patterns
S2470804	"Cause and effect relationships are routinely identified, tested, and used to explain change."	Cause and Effect
S2470805	"Scientific discoveries about the natural world can often lead to new and improved technologies, which are developed through the engineering design process."	
S2470845	Similarities and differences in patterns can be used to sort and classify natural phenomena.	"Interdependence of Science, Engineering, and Technology"
S2470846	Cause and effect relationships are routinely identified and used to explain change.	Cause and Effect
S2470877	Observable phenomena exist from very short to very long time periods.	"Scale, Proportion, and Quantity"
S2470880	Science assumes consistent patterns in natural systems.	"Interdependence of Science, Engineering, and Technology"
S2470879	Knowledge of relevant scientific concepts and research findings is important in engineering.	"Interdependence of Science, Engineering, and Technology"
S2470878	A system can be described in terms of its components and their interactions.	Systems and System Models
S2470907	"Engineers improve existing technologies or develop new ones to increase their benefits (e.g., better artificial limbs), decrease known risks (e.g., seatbelts in cars), and meet societal demands (e.g., cell phones)."	
S2470908	Science affects everyday life.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2470938	Energy can be transferred in various ways and between objects.	Science is a Human Endeavor 
S2470939	Engineers improve existing technologies or develop new ones.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2470940	Most scientists and engineers work in teams.	Science is a Human Endeavor 
S2470967	Similarities and differences in patterns can be used to sort and classify designed products.	Patterns
S2470995	Patterns can be used as evidence to support an explanation.	Patterns
S2471037	"Over time, people's needs and wants change, as do their demands for new and improved technologies."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471038	"Engineers improve existing technologies or develop new ones to increase their benefits, to decrease known risks, and to meet societal demands."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471063	Natural objects exist from the very small to the immensely large.	"Scale, Proportion, and Quantity"
S2471064	"Standard units are used to measure and describe physical quantities such as weight, time, temperature, and volume."	"Scale, Proportion, and Quantity"
S2471097	"Matter is transported into, out of, and within systems."	Energy and Matter
S2471127	"Similarities and differences in patterns can be used to sort, classify, communicate and analyze simple rates of change for natural phenomena."	Patterns
S2471144	Standard units are used to measure and describe physical quantities such as weight and volume.	"Scale, Proportion, and Quantity"
S2471157	Science findings are limited to questions that can be answered with empirical evidence.	Science Addresses Questions About the Natural and Material World
S2471179	"People's needs and wants change over time, as do their demands for new and improved technologies."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471229	"Time, space, and energy phenomena can be observed at various scales using models to study systems that are too large or too small."	"Scale, Proportion, and Quantity"
S2471227	Macroscopic patterns are related to the nature of microscopic and atomic-level structure.	Patterns
S2471232	"Structures can be designed to serve particular functions by taking into account properties of different materials, and how materials can be shaped and used."	Structure and Function
S2471233	"Engineering advances have led to important discoveries in virtually every field of science, and scientific discoveries have led to the development of entire industries and engineered systems."	"Interdependence of Science, Engineering, and Technology"
S2471234	"The uses of technologies and any limitations on their use are driven by individual or societal needs, desires, and values; by the findings of scientific research; and by differences in such factors as climate, natural resources, and economic conditions. Thus technology use varies from region to region and over time."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471228	Cause and effect relationships may be used to predict phenomena in natural or designed systems.	Cause and Effect
S2471230	Matter is conserved because atoms are conserved in physical and chemical processes.	Energy and Matter
S2471231	The transfer of energy can be tracked as energy flows through a designed or natural system.	Energy and Matter
S2471266	"Models can be used to represent systems and their interactions—such as inputs, processes and outputs—and energy and matter flows within systems."	Systems and System Models
S2471268	"The uses of technologies and any limitations on their use are driven by individual or societal needs, desires, and values; by the findings of scientific research; and by differences in such factors as climate, natural resources, and economic conditions."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471267	Explanations of stability and change in natural or designed systems can be constructed by examining the changes over time and forces at different scales.	Stability and Change
S2471306	Proportional relationships (e.g. speed as the ratio of distance traveled to time taken) among different types of quantities provide information about the magnitude of properties and processes.	"Scale, Proportion, and Quantity"
S2471308	"Energy may take different forms (e.g. energy in fields, thermal energy, energy of motion)."	Energy and Matter
S2471338	Graphs and charts can be used to identify patterns in data.	Patterns
S2471340	Structures can be designed to serve particular functions.	Structure and Function
S2471341	"Technologies extend the measurement, exploration, modeling, and computational capacity of scientific investigations."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471342	Advances in technology influence the progress of science and science has influenced advances in technology.	Science is a Human Endeavor 
