id	std_type	description	lowgrade	highgrade	sCode
1	parent	Motion and Stability: Forces and Interactions	0	0	S2454349
2	child	Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.	0	0	S2454351
3	3d	"With guidance, plan and conduct an investigation in collaboration with peers."	0	0	S2467522
7	3d	"When objects touch or collide, they push on one another and can change motion."	0	0	S2468141
8	3d	A bigger push or pull makes things speed up or slow down more quickly.	0	0	S2468143
10	child	Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.	0	0	S2454352
12	3d	Pushes and pulls can have different strengths and directions.	0	0	S2468138
13	3d	Pushing or pulling on an object can change the speed or direction of its motion and can start or stop it.	0	0	S2468139
14	3d	A situation that people want to change or create can be approached as a problem to be solved through engineering. Such problems may have many acceptable solutions.	0	0	S2468145
16	parent	Energy	0	0	S2454353
17	child	Make observations to determine the effect of sunlight on Earth's surface.	0	0	S2454387
22	child	Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.	0	0	S2454388
23	3d	Use tools and materials provided to design and build a device that solves a specific problem or a solution to a specific problem.	0	0	S2470520
24	3d	Sunlight warms Earth's surface.	0	0	S2470524
26	parent	From Molecules to Organisms: Structures and Processes	0	0	S2454354
27	child	Use observations to describe patterns of what plants and animals (including humans) need to survive.	0	0	S2454380
30	3d	All animals need food in order to live and grow. They obtain their food from plants or from other animals. Plants need water and light to live and grow.	0	0	S2470532
31	3d	Patterns in the natural and human designed world can be observed and used as evidence.	0	0	S2470534
32	parent	Earth's Systems	0	0	S2454355
33	child	Use and share observations of local weather conditions to describe patterns over time.	0	0	S2454385
36	3d	"Weather is the combination of sunlight, wind, snow or rain, and temperature in a particular region at a particular time. People measure these conditions to describe and record the weather and to notice patterns over time."	0	0	S2470544
38	child	Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.	0	0	S2454381
40	3d	Plants and animals can change their environment.	0	0	S2470547
43	parent	Earth and Human Activity	0	0	S2454356
44	child	Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.	0	0	S2454382
45	3d	Use a model to represent relationships in the natural world.	0	0	S2470559
46	3d	"Living things need water, air, and resources from the land, and they live in places that have the things they need. Humans use natural resources for everything they do."	0	0	S2470568
47	3d	Systems in the natural and designed world have parts that work together.	0	0	S2470552
48	child	"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather."	0	0	S2454386
49	3d	Ask questions based on observations to find more information about the designed world.	0	0	S2470557
50	3d	Read grade-appropriate texts and/or use media to obtain scientific information to describe patterns in the natural world.	0	0	S2470561
51	3d	Some kinds of severe weather are more likely than others in a given region. Weather scientists forecast severe weather so that the communities can prepare for and respond to these events.	0	0	S2470569
54	3d	People encounter questions about the natural world every day.	0	0	S2470579
56	child	"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment."	0	0	S2454383
57	3d	Communicate solutions with others in oral and/or written forms using models and/or drawings that provide detail about scientific ideas.	0	0	S2470562
58	3d	"Things that people do to live comfortably can affect the world around them. But they can make choices that reduce their impacts on the land, water, air, and other living things."	0	0	S2470548
61	parent	Waves and their Applications in Technologies for Information Transfer	1	1	S2454357
62	child	Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.	1	1	S2454390
64	3d	Science investigations begin with a question.	1	1	S2470592
65	3d	Scientists use different ways to study the world.	0	1	S2468147
66	3d	"Sound can make matter vibrate, and vibrating matter can make sound."	1	1	S2470597
68	child	Make observations to construct an evidence-based account that objects can be seen only when illuminated.	1	1	S2454391
70	3d	Objects can be seen if light is available to illuminate them or if they give off their own light.	1	1	S2470598
72	child	Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.	1	1	S2454392
73	3d	Plan and conduct investigations collaboratively to produce data to serve as the basis for evidence to answer a question.	1	1	S2470588
74	3d	"Some materials allow light to pass through them, others allow only some light through and others block all the light and create a dark shadow on any surface beyond them, where the light cannot reach. Mirrors can be used to redirect a light beam. (Boundary: The idea that light travels from place to place is developed through experiences with light sources, mirrors, and shadows, but no attempt is made to discuss the speed of light.)"	1	1	S2470599
76	child	Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.	1	1	S2454393
77	3d	Use tools and materials provided to design a device that solves a specific problem.	1	1	S2470591
78	3d	People also use a variety of devices to communicate (send and receive information) over long distances.	1	1	S2470600
79	3d	People depend on various technologies in their lives; human life would be very different without technology.	0	1	S2470580
80	parent	From Molecules to Organisms: Structures and Processes	1	1	S2454358
81	child	"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs."	1	1	S2454395
82	3d	Use materials to design a device that solves a specific problem or a solution to a specific problem.	1	1	S2470612
83	3d	"All organisms have external parts. Different animals use their body parts in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water and air. Plants also have different parts (roots, stems, leaves, flowers, fruits) that help them survive and grow."	1	1	S2470619
84	3d	Animals have body parts that capture and convey different kinds of information needed for growth and survival. Animals respond to these inputs with behaviors that help them survive. Plants also respond to some external inputs.	1	1	S2470621
87	child	Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.	1	1	S2454396
88	3d	Read grade-appropriate texts and use media to obtain scientific information to determine patterns in the natural world.	1	1	S2470614
90	3d	"Adult plants and animals can have young. In many kinds of animals, parents and the offspring themselves engage in behaviors that help the offspring to survive."	1	1	S2470620
92	parent	Heredity: Inheritance and Variation of Traits	1	1	S2454359
93	child	"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents."	1	1	S2454397
95	3d	"Young animals are very much, but not exactly like, their parents. Plants also are very much, but not exactly, like their parents."	1	1	S2470636
96	3d	Individuals of the same kind of plant or animal are recognizable as similar but can also vary in many ways.	1	1	S2470637
98	parent	Earth's Place in the Universe	1	1	S2454360
99	child	"Use observations of the sun, moon, and stars to describe patterns that can be predicted."	1	1	S2454399
100	3d	Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions.	0	1	S2470528
101	3d	"Patterns of the motion of the sun, moon, and stars in the sky can be observed, described, and predicted."	1	1	S2470651
103	3d	Science assumes natural events happen today as they happened in the past.	1	1	S2470656
104	3d	Many events are repeated.	1	1	S2470657
105	child	Make observations at different times of year to relate the amount of daylight to the time of year.	1	1	S2454400
106	3d	Make observations (firsthand or from media) to collect data that can be used to make comparisons.	0	1	S2470518
107	3d	"Seasonal patterns of sunrise and sunset can be observed, described, and predicted."	1	1	S2470652
108	3d	"Patterns in the natural world can be observed, used to describe phenomena, and used as evidence."	0	1	S2470551
109	parent	Matter and its Interactions	2	2	S2454361
110	child	Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.	2	2	S2454402
112	3d	"Different kinds of matter exist and many of them can be either solid or liquid, depending on temperature. Matter can be described and classified by its observable properties."	2	2	S2470677
113	3d	Patterns in the natural and human designed world can be observed.	2	2	S2470685
114	child	Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.	2	2	S2454403
117	3d	Simple tests can be designed to gather evidence to support or refute student ideas about causes.	0	2	S2468136
118	3d	Every human-made product is designed by applying some knowledge of the  natural world and is built using materials  derived from the natural world.	1	2	S2470627
119	child	Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.	2	2	S2454404
120	3d	Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena.	1	2	S2470590
121	3d	Different properties are suited to different purposes.	2	2	S2470678
122	3d	A great variety of objects can be built up from a small set of pieces.	2	2	S2470679
123	3d	"Objects may break into smaller pieces and be put together into larger pieces, or change shapes."	2	2	S2470688
124	child	Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.	2	2	S2454405
125	3d	Construct an argument with evidence to support a claim.	2	2	S2470673
126	3d	Scientists search for cause and effect relationships to explain natural events.	2	2	S2470674
127	3d	"Heating or cooling a substance may cause changes that can be observed. Sometimes these changes are reversible, and sometimes they are not."	2	2	S2470680
129	parent	"Ecosystems: Interactions, Energy, and Dynamics"	2	2	S2454362
130	child	Plan and conduct an investigation to determine if plants need sunlight and water to grow.	2	2	S2454407
131	3d	Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence to answer a question.	2	2	S2470667
132	3d	Plants depend on water and light to grow.	2	2	S2470701
133	3d	Events have causes that generate observable patterns.	0	2	S2470526
134	child	Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.	2	2	S2454408
136	3d	Plants depend on animals for pollination or to move their seeds around.	2	2	S2470702
139	parent	Biological Evolution: Unity and Diversity	2	2	S2454363
140	child	Make observations of plants and animals to compare the diversity of life in different habitats.	2	2	S2454409
141	3d	Make observations (firsthand or from media) to collect data which can be used to make comparisons.	2	2	S2470713
142	3d	Scientists look for patterns and order when making observations about the world.	0	2	S2470530
143	3d	"There are many different kinds of living things in any area, and they exist in different places on land and in water."	2	2	S2470716
144	parent	Earth's Place in the Universe	2	2	S2454364
145	child	Use information from several sources to provide evidence that Earth events can occur quickly or slowly.	2	2	S2454411
146	3d	Make observations from several sources to construct an evidence-based account for natural phenomena.	2	2	S2470722
